"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","04 Apr 2025","23190.4","23214.7","22857.45","22904.45"
"NIFTY 50","03 Apr 2025","23150.3","23306.5","23145.8","23250.10"
"NIFTY 50","02 Apr 2025","23192.6","23350","23158.45","23332.35"
"NIFTY 50","01 Apr 2025","23341.1","23565.15","23136.4","23165.70"
"NIFTY 50","28 Mar 2025","23600.4","23649.2","23450.2","23519.35"
"NIFTY 50","27 Mar 2025","23433.95","23646.45","23412.2","23591.95"
"NIFTY 50","26 Mar 2025","23700.95","23736.5","23451.7","23486.85"
"NIFTY 50","25 Mar 2025","23751.5","23869.6","23601.4","23668.65"
"NIFTY 50","24 Mar 2025","23515.4","23708.75","23433.5","23658.35"
"NIFTY 50","21 Mar 2025","23168.25","23402.7","23132.8","23350.40"
"NIFTY 50","20 Mar 2025","23036.6","23216.7","22973.95","23190.65"
"NIFTY 50","19 Mar 2025","22874.95","22940.7","22807.95","22907.60"
"NIFTY 50","18 Mar 2025","22662.25","22857.8","22599.2","22834.30"
"NIFTY 50","17 Mar 2025","22353.15","22577","22353.15","22508.75"
"NIFTY 50","13 Mar 2025","22541.5","22558.05","22377.35","22397.20"
"NIFTY 50","12 Mar 2025","22536.35","22577.4","22329.55","22470.50"
"NIFTY 50","11 Mar 2025","22345.95","22522.1","22314.7","22497.90"
"NIFTY 50","10 Mar 2025","22521.85","22676.75","22429.05","22460.30"
"NIFTY 50","07 Mar 2025","22508.65","22633.8","22464.75","22552.50"
"NIFTY 50","06 Mar 2025","22476.35","22556.45","22245.85","22544.70"
"NIFTY 50","05 Mar 2025","22073.05","22394.9","22067.8","22337.30"
"NIFTY 50","04 Mar 2025","21974.45","22105.05","21964.6","22082.65"
"NIFTY 50","03 Mar 2025","22194.55","22261.55","22004.7","22119.30"
"NIFTY 50","28 Feb 2025","22433.4","22450.35","22104.85","22124.70"
"NIFTY 50","27 Feb 2025","22568.95","22613.3","22508.4","22545.05"
"NIFTY 50","25 Feb 2025","22516.45","22625.3","22513.9","22547.55"
"NIFTY 50","24 Feb 2025","22609.35","22668.05","22518.8","22553.35"
"NIFTY 50","21 Feb 2025","22857.2","22921","22720.3","22795.90"
"NIFTY 50","20 Feb 2025","22821.1","22923.85","22812.75","22913.15"
"NIFTY 50","19 Feb 2025","22847.25","23049.95","22814.85","22932.90"
"NIFTY 50","18 Feb 2025","22963.65","22992.5","22801.5","22945.30"
"NIFTY 50","17 Feb 2025","22809.9","22974.2","22725.45","22959.50"
"NIFTY 50","14 Feb 2025","23096.45","23133.7","22774.85","22929.25"
"NIFTY 50","13 Feb 2025","23055.75","23235.5","22992.2","23031.40"
"NIFTY 50","12 Feb 2025","23050.8","23144.7","22798.35","23045.25"
"NIFTY 50","11 Feb 2025","23383.55","23390.05","22986.65","23071.80"
"NIFTY 50","10 Feb 2025","23543.8","23568.6","23316.3","23381.60"
"NIFTY 50","07 Feb 2025","23649.5","23694.5","23443.2","23559.95"
"NIFTY 50","06 Feb 2025","23761.95","23773.55","23556.25","23603.35"
"NIFTY 50","05 Feb 2025","23801.75","23807.3","23680.45","23696.30"